"raw_speciesname_europe","RLCNum_species","raw_country_code","raw_red_list_category","Country.x","RLCNum","Country.y","EU","Area","Npeople","sqrtArea"
"Aglais ichnusa",1,"FR","Unknown","France",1,"France","EU",551394,64979548,742.559088557941
"Aglais ichnusa",1,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Aglais io",1.59375,"AD","LC","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Aglais io",1.59375,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Aglais io",1.59375,"AT","LC","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Aglais io",1.59375,"BA","LC","Bosnia and Herzegovina",1,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Aglais io",1.59375,"BE","LC","Belgium",1,"Belgium","EU",30528,11429336,174.722637342732
"Aglais io",1.59375,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Aglais io",1.59375,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Aglais io",1.59375,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Aglais io",1.59375,"CZ","NE","Czech Republic",1,"Czech Republic","EU",78866,10618303,280.830909979653
"Aglais io",1.59375,"DE","LC","Germany",1,"Germany","EU",357168,82114224,597.6353403205
"Aglais io",1.59375,"DK","LC","Denmark",1,"Denmark","EU",44493,5733551,210.93363885355
"Aglais io",1.59375,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Aglais io",1.59375,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Aglais io",1.59375,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Aglais io",1.59375,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Aglais io",1.59375,"GB","LC","United Kingdom",1,"United Kingdom","EU",244820,66181585,494.79288596341
"Aglais io",1.59375,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Aglais io",1.59375,"HR","LC","Croatia",1,"Croatia","EU",56594,4189353,237.894934792652
"Aglais io",1.59375,"HU","LC","Hungary",1,"Hungary","EU",93030,9721559,305.008196611173
"Aglais io",1.59375,"IE","LC","Ireland",1,"Ireland","EU",70273,4761657,265.09055056716
"Aglais io",1.59375,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Aglais io",1.59375,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Aglais io",1.59375,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Aglais io",1.59375,"LU","NT","Luxembourg",20,"Luxembourg","EU",2428,583455,49.2747399790197
"Aglais io",1.59375,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Aglais io",1.59375,"MD","No Red List available",,,"Moldova",,33846,4051212,183.97282408008
"Aglais io",1.59375,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Aglais io",1.59375,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Aglais io",1.59375,"NL","LC","Netherlands",1,"Netherlands","EU",41198,17035938,202.972904595663
"Aglais io",1.59375,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Aglais io",1.59375,"PL","LC","Poland",1,"Poland","EU",312685,38170712,559.182438923112
"Aglais io",1.59375,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Aglais io",1.59375,"RO","LC",,,"Romania","EU",238392,19679306,488.254032241414
"Aglais io",1.59375,"RS","LC","Serbia",1,"Serbia",,88361,8790574,297.255782113654
"Aglais io",1.59375,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Aglais io",1.59375,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Aglais io",1.59375,"SI","LC","Slovenia",1,"Slovenia","EU",20273,2079976,142.383285535908
"Aglais io",1.59375,"SK","LC","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Aglais io",1.59375,"UA","LC","Ukraine",1,"Ukraine",,603628,44222947,776.935003716527
